human_doc_type,topic_cluster,topic_size,topic_keywords,topic_prob,doc_id,sha256,rel_path,docform_cluster,clean_len,preview,topic_label_human,topic_keep,topic_notes
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",1.0,14c258e71c0db763f21dfdd9,14c258e71c0db763f21dfdd912c808c3ab88f8cc0d79d9f4e52b8efdfa97f420,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029692.txt,c0003,797,"From: \r
Sent: \r
To: \r
Article 1. \r
Jeffrey Epstein [jeeyacation@gmail.com] \r
2/14/2013 8:47:12 PM \r
Larry Summers \r
Washington Post \r
Obama to make first trip  \r
to Israel, part of a  \r
potential 'new  \r
beginning' with region  \r
Scott Wilson \r
President Obama will travel to Israel and \r
the occupied Palestinian territories next \r
month to make an early second-term push \r
for peace",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",1.0,c42e61104fa7ada970166fc9,c42e61104fa7ada970166fc9b6389de003d5b62a9f56ecd11ccd824a2fc17a50,TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033225.txt,c0003,472,"From: paul krassner \r
Sent: 2/12/2017 12:25:16 AM \r
To: DANNY GOLDBERG ; Sam/Walli Leff Michael Simmons \r
Subject: I don't know if they'll publish this: \r
Importance: High \r
From: paul krassner <I> \r
Subject: Re:""Comedian made an art...,"" Obituariwa, Feb. 10 \r
Date: February 11, 2017 at 12:56:37 PM PST \r
To: letterslatimes.com  \r
The obituary of unique comedian Irwin Corey stated, ""Over a",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",1.0,14ee23726f05210e024b6968,14ee23726f05210e024b69686ae69511fb4bff0f0c94dee12557195ed1d47d89,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_017771.txt,c0003,801,"﻿Case 1:19-cv-03377 Document 1-8 Filed 04/16/19 Page 1 of 16
EXHIBIT 8\r
Case 1:19-cv-03377 Document 1-8 Filed 04/16/19 Page 2 of 16
http://www.vanityfair.com/news/2003/03/jeffrey‐epstein‐200303
Society
The Talented Mr. Epstein
Lately, Jeffrey Epstein’s high-flying style has been drawing oohs and aahs: the bachelor
financier lives in New York’s largest private residence, claims to take only billio",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",1.0,713d72ae3aace90bb6fc4ead,713d72ae3aace90bb6fc4eadda98e4be114f72a2a2a15c9e0a9d363fc5145423,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031005.txt,c0003,294,"From: Jeffrey Epstein [jeeyacation@gmail.com] \r
Sent: 10/9/2009 5:19:34 PM \r
To: Mortimer Zuckerman_________________________________________ \r
Subject: Fwd: Daily News story on Jeffrey Epstein \r
----------Forwarded message---------- \r
From: Darren Indyke < > \r
Date: Fri, Oct 9, 2009 at 12:32 PM \r
Subject: Fwd: Daily News story on Jeffrey Epstein \r
To: Jeevacation <jeevacation@gmail.com> \r",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",1.0,b5b30f976c71be5b57072750,b5b30f976c71be5b570727506a6649894a8d7813bbd12e7aba4d7bf6d30e68e3,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_017800.txt,c0003,801,"﻿Case 1:19-cv-03377 Document 1-1 Filed 04/16/19 Page 1 of 18
EXHIBIT 1\r
https://www.miamiherald.com/news/local/article219494920.html
4/3/2019
Even from jail, Jeffrey Epstein manipulated the system | Miami Herald
Case 1:19-cv-03377 Document 1-1 Filed 04/16/19 Page 2 of 18
Page 1 of 17
Even from jail, sex abuser manipulated the system. His victims were kept in the dark
BY Julie K. Brown
NOV. 28, 20",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",1.0,323100496644eca6a34db064,323100496644eca6a34db064f1aa38f68e87d0c64cb97547a2ec8bd0516553bd,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030999.txt,c0003,318,"From: Jeffrey Epstein [jeeyacation@gmail.com] \r
Sent: 10/9/2009 4:43:25 PM \r
To: Jack Goldberger \r
Subject: Fwd: Daily News story on Jeffrey Epstein \r
; Robert D. Critton Jr. \r
----------Forwarded message---------- \r
From: Darren Indyke Date: Fri, Fri, Oct 9, 2009 at 12:32 PM \r
Subject: Fwd: Daily News story on Jeffrey Epstein \r
To: Jeevacation <jeevacation@gmail.com> \r
Sent from my iPhon",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",0.9965501939928288,16a23d541b0e965c682657cb,16a23d541b0e965c682657cb543e02e603de4b9d968bbe39c5284d9cc7e7f70d,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026571.txt,c0003,647,"From: \r
Sent: \r
To: \r
Subject: \r
11/2/2012 2:34:45 PM \r
Jeffrey Epstein [jeeyacation@gmail.com] \r
RE: \r
Importance: High \r
Perfect, my father is in Florence now ; we all fly on Sunday to Tanzania for 6 days with my \r
daughters. \r
I believe that the American Ambassador will go back to the US in a few months after the \r
elections , even if President Obama wins. Maybe you want to ask him a",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",0.9380389098381589,aa716adedd4edf103cb3aad5,aa716adedd4edf103cb3aad5d31d76326b14582ac2513832647ccd8cde78f34c,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_024407.txt,c0003,355,"From: Bill Siegel [ \r
Sent: 2/8/2013 8:48:50 PM \r
To: jeevacation@gmail.com \r
Subject: Re: Fro- The Control Factor - Frontpage Magazine interview \r
Attachments: image001.gif; image002.jpg; image003.png; image004.png; image005.jpg; image006.jpg; image007.png \r
Importance: High \r
I will let you know when I go back. Do you know her? \r
From: Jeffrey Epstein <jeevacation@gmail.com> \r
To: Bill S",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",0.8899568436807768,6fe7a17f77be7d6d781a5557,6fe7a17f77be7d6d781a5557e5ecadb80501474e31933e549fe924e9b8e6016c,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_011280.txt,c0003,369,"From: Ens, Amanda_____________________________ \r
Sent: 12/9/2016 4:03:45 PM \r
To: jeffrey E. [jeeyacation@gmail.com]; Richard Kah ___________________________________ \r
Subject: RE: Financials: buy XLF call spreads \r
Attachments: image001.png \r
Importance: High \r
Thank you Jeffrey. Notional is $14,285,000. I'll be back with final trade details. \r
From: Jeffrey E. [mailto:jeevacation@gmail.co",,,
email_strategy_politics_investment,0,735,"the, of, to, and, in, on, is, you, for, at, that, epstein, with, it, by",0.8794515424258927,d9b040eb8e6fb666386f529d,d9b040eb8e6fb666386f529dc64b2d35d103ddbb4878e4ae790018a85cd48e2c,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026521.txt,c0003,800,"﻿Cooperating Without Looking
Moshe Hoffman, 1,2∗† Erez Yoeli, 2,3∗ Martin Nowak 2
1 Department of Computer Science and Engineering,
University of California at San Diego, La Jolla, CA 92093
2 Program for Evolutionary Dynamics,
Harvard University, Cambridge, MA 02138
2 Federal Trade Commission,
600 Pennsylvania Ave. NW, Washington, DC 20004
∗ These authors contributed equally to this work.
† To who",,,
